Auteur;Titel;Journal;Jaar;Volume;Issue;Pages;Abstract;DOI
"Ignatios Ioakeim-Skoufa; Celeste Cebollada-Herrera; Concepción Marín-Bárcena; Vitor Roque; F. Roque; Kerry Atkins; Miguel Ángel Hernández-Rodríguez; M. Aza-Pascual-Salcedo; Ana Fanlo-Villacampa; Helena Coelho; C. Lasala-Aza; Rubén Ledesma-Calvo; A. Gimeno-Miguel; Jorge Vicente-Romero";Electronic Health Records: A Gateway to AI-Driven Multimorbidity Solutions—A Comprehensive Systematic Review;Journal of Clinical Medicine;2025;14;;;;10.3390/jcm14103434
"Prashant Kumar Nag; Amit Bhagat; Vishnu Priya";Expanding AI’s Role in Healthcare Applications: A Systematic Review of Emotional and Cognitive Analysis Techniques;IEEE Access;2025;13;;69129–69160;;10.1109/ACCESS.2025.3562131
"Rafaela Pinto-De-Sá; B. Sousa?Pinto; Sofia Costa-De-Oliveira";Brave New World of Artificial Intelligence: Its Use in Antimicrobial Stewardship—A Systematic Review;Antibiotics;2024;13;;;;10.3390/antibiotics13040307
"N. T. K. Hien; F. J. Tsai; Y. H. Chang; W. Burton; P. T. Phuc; P. A. Nguyen; D. Harnod; C. S. Lam; T. C. Lu; C. I. Chen; M. H. Hsu; C. Y. Lu; C. W. Huang; H. C. Yang; J. C. Hsu";Unveiling the future of COVID-19 patient care: groundbreaking prediction models for severe outcomes or mortality in hospitalized cases;Front Med (Lausanne);2023;10;;1289968;"BACKGROUND: Previous studies have identified COVID-19 risk factors, such as age and chronic health conditions, linked to severe outcomes and mortality. However, accurately predicting severe illness in COVID-19 patients remains challenging, lacking precise methods. OBJECTIVE: This study aimed to leverage clinical real-world data and multiple machine-learning algorithms to formulate innovative predictive models for assessing the risk of severe outcomes or mortality in hospitalized patients with COVID-19. METHODS: Data were obtained from the Taipei Medical University Clinical Research Database (TMUCRD) including electronic health records from three Taiwanese hospitals in Taiwan. This study included patients admitted to the hospitals who received an initial diagnosis of COVID-19 between January 1, 2021, and May 31, 2022. The primary outcome was defined as the composite of severe infection, including ventilator use, intubation, ICU admission, and mortality. Secondary outcomes consisted of individual indicators. The dataset encompassed demographic data, health status, COVID-19 specifics, comorbidities, medications, and laboratory results. Two modes (full mode and simplified mode) are used; the former includes all features, and the latter only includes the 30 most important features selected based on the algorithm used by the best model in full mode. Seven machine learning was employed algorithms the performance of the models was evaluated using metrics such as the area under the receiver operating characteristic curve (AUROC), accuracy, sensitivity, and specificity. RESULTS: The study encompassed 22,192 eligible in-patients diagnosed with COVID-19. In the full mode, the model using the light gradient boosting machine algorithm achieved the highest AUROC value (0.939), with an accuracy of 85.5%, a sensitivity of 0.897, and a specificity of 0.853. Age, vaccination status, neutrophil count, sodium levels, and platelet count were significant features. In the simplified mode, the extreme gradient boosting algorithm yielded an AUROC of 0.935, an accuracy of 89.9%, a sensitivity of 0.843, and a specificity of 0.902. CONCLUSION: This study illustrates the feasibility of constructing precise predictive models for severe outcomes or mortality in COVID-19 patients by leveraging significant predictors and advanced machine learning. These findings can aid healthcare practitioners in proactively predicting and monitoring severe outcomes or mortality among hospitalized COVID-19 patients, improving treatment and resource allocation.";10.3389/fmed.2023.1289968
"S. Shakibfar; F. Nyberg; H. Li; J. Zhao; H. M. E. Nordeng; G. K. F. Sandve; M. Pavlovic; M. Hajiebrahimi; M. Andersen; M. Sessa";Artificial intelligence-driven prediction of COVID-19-related hospitalization and death: a systematic review;Front Public Health;2023;11;;1183725;AIM: To perform a systematic review on the use of Artificial Intelligence (AI) techniques for predicting COVID-19 hospitalization and mortality using primary and secondary data sources. STUDY ELIGIBILITY CRITERIA: Cohort, clinical trials, meta-analyses, and observational studies investigating COVID-19 hospitalization or mortality using artificial intelligence techniques were eligible. Articles without a full text available in the English language were excluded. DATA SOURCES: Articles recorded in Ovid MEDLINE from 01/01/2019 to 22/08/2022 were screened. DATA EXTRACTION: We extracted information on data sources, AI models, and epidemiological aspects of retrieved studies. BIAS ASSESSMENT: A bias assessment of AI models was done using PROBAST. PARTICIPANTS: Patients tested positive for COVID-19. RESULTS: We included 39 studies related to AI-based prediction of hospitalization and death related to COVID-19. The articles were published in the period 2019-2022, and mostly used Random Forest as the model with the best performance. AI models were trained using cohorts of individuals sampled from populations of European and non-European countries, mostly with cohort sample size <5,000. Data collection generally included information on demographics, clinical records, laboratory results, and pharmacological treatments (i.e., high-dimensional datasets). In most studies, the models were internally validated with cross-validation, but the majority of studies lacked external validation and calibration. Covariates were not prioritized using ensemble approaches in most of the studies, however, models still showed moderately good performances with Area under the Receiver operating characteristic Curve (AUC) values >0.7. According to the assessment with PROBAST, all models had a high risk of bias and/or concern regarding applicability. CONCLUSIONS: A broad range of AI techniques have been used to predict COVID-19 hospitalization and mortality. The studies reported good prediction performance of AI models, however, high risk of bias and/or concern regarding applicability were detected.;10.3389/fpubh.2023.1183725
"Y. Gao; Y. Zhang; C. Hu; P. He; J. Fu; F. Lin; K. Liu; X. Fu; R. Liu; J. Sun; F. Chen; W. Yang; Y. Zhou";Distinguishing infectivity in patients with pulmonary tuberculosis using deep learning;Front Public Health;2023;11;;1247141;INTRODUCTION: This study aimed to develop and assess a deep-learning model based on CT images for distinguishing infectivity in patients with pulmonary tuberculosis (PTB). METHODS: We labeled all 925 patients from four centers with weak and strong infectivity based on multiple sputum smears within a month for our deep-learning model named TBINet's training. We compared TBINet's performance in identifying infectious patients to that of the conventional 3D ResNet model. For model explainability, we used gradient-weighted class activation mapping (Grad-CAM) technology to identify the site of lesion activation in the CT images. RESULTS: The TBINet model demonstrated superior performance with an area under the curve (AUC) of 0.819 and 0.753 on the validation and external test sets, respectively, compared to existing deep learning methods. Furthermore, using Grad-CAM, we observed that CT images with higher levels of consolidation, voids, upper lobe involvement, and enlarged lymph nodes were more likely to come from patients with highly infectious forms of PTB. CONCLUSION: Our study proves the feasibility of using CT images to identify the infectivity of PTB patients based on the deep learning method.;10.3389/fpubh.2023.1247141
"S. Shakibfar; J. Zhao; H. Li; H. Nordeng; A. Lupattelli; M. Pavlovic; G. K. Sandve; F. Nyberg; B. Wettermark; M. Hajiebrahimi; M. Andersen; M. Sessa";Machine learning-driven development of a disease risk score for COVID-19 hospitalization and mortality: a Swedish and Norwegian register-based study;Front Public Health;2023;11;;1258840;AIMS: To develop a disease risk score for COVID-19-related hospitalization and mortality in Sweden and externally validate it in Norway. METHOD: We employed linked data from the national health registries of Sweden and Norway to conduct our study. We focused on individuals in Sweden with confirmed SARS-CoV-2 infection through RT-PCR testing up to August 2022 as our study cohort. Within this group, we identified hospitalized cases as those who were admitted to the hospital within 14?days of testing positive for SARS-CoV-2 and matched them with five controls from the same cohort who were not hospitalized due to SARS-CoV-2. Additionally, we identified individuals who died within 30?days after being hospitalized for COVID-19. To develop our disease risk scores, we considered various factors, including demographics, infectious, somatic, and mental health conditions, recorded diagnoses, and pharmacological treatments. We also conducted age-specific analyses and assessed model performance through 5-fold cross-validation. Finally, we performed external validation using data from the Norwegian population with COVID-19 up to December 2021. RESULTS: During the study period, a total of 124,560 individuals in Sweden were hospitalized, and 15,877 individuals died within 30?days following COVID-19 hospitalization. Disease risk scores for both hospitalization and mortality demonstrated predictive capabilities with ROC-AUC values of 0.70 and 0.72, respectively, across the entire study period. Notably, these scores exhibited a positive correlation with the likelihood of hospitalization or death. In the external validation using data from the Norwegian COVID-19 population (consisting of 53,744 individuals), the disease risk score predicted hospitalization with an AUC of 0.47 and death with an AUC of 0.74. CONCLUSION: The disease risk score showed moderately good performance to predict COVID-19-related mortality but performed poorly in predicting hospitalization when externally validated.;10.3389/fpubh.2023.1258840
"P. D. Deps; R. Yotsu; Bcrs Furriel; B. D. de Oliveira; S. L. de Lima; R. M. Loureiro";The potential role of artificial intelligence in the clinical management of Hansen's disease (leprosy);Front Med (Lausanne);2024;11;;1338598;Missed and delayed diagnoses of Hansen's disease (HD) are making the battle against it even more complex, increasing its transmission and significantly impacting those affected and their families. This strains public health systems and raises the risk of lifelong impairments and disabilities. Worryingly, the three countries most affected by HD witnessed a growth in new cases in 2022, jeopardizing the World Health Organization's targets to interrupt transmission. Artificial intelligence (AI) can help address these challenges by offering the potential for rapid case detection, customized treatment, and solutions for accessibility challenges-especially in regions with a shortage of trained healthcare professionals. This perspective article explores how AI can significantly impact the clinical management of HD, focusing on therapeutic strategies. AI can help classify cases, ensure multidrug therapy compliance, monitor geographical treatment coverage, and detect adverse drug reactions and antimicrobial resistance. In addition, AI can assist in the early detection of nerve damage, which aids in disability prevention and planning rehabilitation. Incorporating AI into mental health counseling is also a promising contribution to combating the stigma associated with HD. By revolutionizing therapeutic approaches, AI offers a holistic solution to reduce the burden of HD and improve patient outcomes.;10.3389/fmed.2024.1338598
"A. Aggarwal; C. Tam; Dezhi Wu; Xiaoming Li; S. Qiao";Artificial Intelligence–Based Chatbots for Promoting Health Behavioral Changes: Systematic Review;Journal of Medical Internet Research;2023;25;;;;10.2196/40789
"Yu Liu; Boyuan Wang";Advanced applications in chronic disease monitoring using IoT mobile sensing device data, machine learning algorithms and frame theory: a systematic review;Frontiers in Public Health;2025;13;;;;10.3389/fpubh.2025.1510456
"M. M. Banoei; H. Rafiepoor; K. Zendehdel; M. S. Seyyedsalehi; A. Nahvijou; F. Allameh; S. Amanpour";Unraveling complex relationships between COVID-19 risk factors using machine learning based models for predicting mortality of hospitalized patients and identification of high-risk group: a large retrospective study;Front Med (Lausanne);2023;10;;1170331;BACKGROUND: At the end of 2019, the coronavirus disease 2019 (COVID-19) pandemic increased the hospital burden of COVID-19 caused by the SARS-Cov-2 and became the most significant health challenge for nations worldwide. The severity and high mortality of COVID-19 have been correlated with various demographic characteristics and clinical manifestations. Prediction of mortality rate, identification of risk factors, and classification of patients played a crucial role in managing COVID-19 patients. Our purpose was to develop machine learning (ML)-based models for the prediction of mortality and severity among patients with COVID-19. Identifying the most important predictors and unraveling their relationships by classification of patients to the low-, moderate- and high-risk groups might guide prioritizing treatment decisions and a better understanding of interactions between factors. A detailed evaluation of patient data is believed to be important since COVID-19 resurgence is underway in many countries. RESULTS: The findings of this study revealed that the ML-based statistically inspired modification of the partial least square (SIMPLS) method could predict the in-hospital mortality among COVID-19 patients. The prediction model was developed using 19 predictors including clinical variables, comorbidities, and blood markers with moderate predictability (Q(2) = 0.24) to separate survivors and non-survivors. Oxygen saturation level, loss of consciousness, and chronic kidney disease (CKD) were the top mortality predictors. Correlation analysis showed different correlation patterns among predictors for each non-survivor and survivor cohort separately. The main prediction model was verified using other ML-based analyses with a high area under the curve (AUC) (0.81-0.93) and specificity (0.94-0.99). The obtained data revealed that the mortality prediction model can be different for males and females with diverse predictors. Patients were classified into four clusters of mortality risk and identified the patients at the highest risk of mortality, which accentuated the most significant predictors correlating with mortality. CONCLUSION: An ML model for predicting mortality among hospitalized COVID-19 patients was developed considering the interactions between factors that may reduce the complexity of clinical decision-making processes. The most predictive factors related to patient mortality were identified by assessing and classifying patients into different groups based on their sex and mortality risk (low-, moderate-, and high-risk groups).;10.3389/fmed.2023.1170331
"Silvana Secinaro; D. Calandra; A. Secinaro; V. Muthurangu; P. Biancone";The role of artificial intelligence in healthcare: a structured literature review;BMC Medical Informatics and Decision Making;2021;21;;;;10.1186/s12911-021-01488-9
"Matilde Santos; M. Peyroteo; L. Ao";AI-Powered Post-Discharge Monitoring to Prevent Patients Readmissions and Reduce Workforce Burden;The European Journal of Public Health;2024;34;;;;10.1093/eurpub/ckae144.1209
"Maryam Ramezani; Amirhossein Takian; A. Bakhtiari; Hamid Rabiee; S. Ghazanfari; Hakimeh Mostafavi";The application of artificial intelligence in health policy: a scoping review;BMC Health Services Research;2023;23;;;;10.1186/s12913-023-10462-2
"J. Morgenstern; Emmalin Buajitti; Meghan O’Neill; Thomas Piggott; V. Goel; Daniel Fridman; K. Kornas; L. Rosella";Predicting population health with machine learning: a scoping review;BMJ Open;2020;10;;;;10.1136/bmjopen-2020-037860
"Yogesh Kumar; Apeksha Koul; Ruchika Singla; Muhammad Fazal Ijaz";Artificial intelligence in disease diagnosis: a systematic literature review, synthesizing framework and future research agenda;Journal of Ambient Intelligence and Humanized Computing;2022;14;;8459–8486;;10.1007/s12652-021-03612-z
"Shifat Islam; Rifat Shahriyar; Abhishek Agarwala; Marzia Zaman; Shamim Ahamed; Rifat Rahman; M. Chowdhury; F. Sarker; K. Mamun";Artificial intelligence-based risk assessment tools for sexual, reproductive and mental health: a systematic review;BMC Medical Informatics and Decision Making;2025;25;;;;10.1186/s12911-025-02864-5
"Pablo Cruz-Gonzalez; Aaron Wan-Jia He; Elly PoPo Lam; Ingrid Man Ching Ng; Mandy Wingman Li; Rangchun Hou; Jackie Ngai-Man Chan; Yuvraj Sahni; Nestor Vinas Guasch; T. Miller; B. Lau; D. Sánchez Vidaña";Artificial intelligence in mental health care: a systematic review of diagnosis, monitoring, and intervention applications;Psychological Medicine;2025;55;;;;10.1017/S0033291724003295
"Tadeusz Ciecierski-Holmes; Ritvij Singh; Miriam Axt; S. Brenner; Sandra Barteit";Artificial intelligence for strengthening healthcare systems in low- and middle-income countries: a systematic scoping review;NPJ Digital Medicine;2022;5;;;;10.1038/s41746-022-00700-y
"Hazeeqah Amny Kamarul Aryffin; Murtadha Arif Bin Sahbudin; Sakinah Ali Pitchay; Azni Haslizan Abhalim; I. Sahbudin";Technological trends in epidemic intelligence for infectious disease surveillance: a systematic literature review;PeerJ Computer Science;2025;;;;;10.7717/peerj-cs.2874
"Shuroug Alowais; Sahar Alghamdi; Nada Alsuhebany; Tariq Alqahtani; Abdulrahman Alshaya; Sumaya Almohareb; Atheer Aldairem; Mohammed Alrashed; Khalid Bin Saleh; H. Badreldin; Majed Al Yami; Shmeylan Al Harbi; Abdulkareem Albekairy";Revolutionizing healthcare: the role of artificial intelligence in clinical practice;BMC Medical Education;2023;23;;;;10.1186/s12909-023-04698-z
"N. Schwalbe; B. Wahl";Artificial intelligence and the future of global health;Lancet (London, England);2020;395;;1579–1586;;10.1016/S0140-6736(20)30226-9
"Omar Ali; Wiem Abdelbaki; Anup Shrestha; Ersin Elbasi; Mohammad Abdallah Ali Alryalat; Yogesh K. Dwivedi";A systematic literature review of artificial intelligence in the healthcare sector: Benefits, challenges, methodologies, and functionalities;Journal of Innovation & Knowledge;2023;8;1;100333;Administrative and medical processes of the healthcare organizations are rapidly changing because of the use of artificial intelligence (AI) systems. This change demonstrates the critical impact of AI at multiple activities, particularly in medical processes related to early detection and diagnosis. Previous studies suggest that AI can raise the quality of services in the healthcare industry. AI-based technologies have reported to improve human life quality, making life easier, safer and more productive. This study presents a systematic review of academic articles on the application of AI in the healthcare sector. The review initially considered 1,988 academic articles from major scholarly databases. After a careful review, the list was filtered down to 180 articles for full analysis to present a classification framework based on four dimensions: AI-enabled healthcare benefits, challenges, methodologies, and functionalities. It was identified that AI continues to significantly outperform humans in terms of accuracy, efficiency and timely execution of medical and related administrative processes. Benefits for patients’ map directly to the relevant AI functionalities in the categories of diagnosis, treatment, consultation and health monitoring for self-management of chronic conditions. Implications for future research directions are identified in the areas of value-added healthcare services for medical decision-making, security and privacy for patient data, health monitoring features, and creative IT service delivery models using AI.;https://doi.org/10.1016/j.jik.2023.100333
"B. Tóth; L. Berek; L. Gulácsi; M. Péntek; Z. Zrubka";Automation of systematic reviews of biomedical literature: a scoping review of studies indexed in PubMed;Syst Rev;2024;13;1;174;BACKGROUND: The demand for high-quality systematic literature reviews (SRs) for evidence-based medical decision-making is growing. SRs are costly and require the scarce resource of highly skilled reviewers. Automation technology has been proposed to save workload and expedite the SR workflow. We aimed to provide a comprehensive overview of SR automation studies indexed in PubMed, focusing on the applicability of these technologies in real world practice. METHODS: In November 2022, we extracted, combined, and ran an integrated PubMed search for SRs on SR automation. Full-text English peer-reviewed articles were included if they reported studies on SR automation methods (SSAM), or automated SRs (ASR). Bibliographic analyses and knowledge-discovery studies were excluded. Record screening was performed by single reviewers, and the selection of full text papers was performed in duplicate. We summarized the publication details, automated review stages, automation goals, applied tools, data sources, methods, results, and Google Scholar citations of SR automation studies. RESULTS: From 5321 records screened by title and abstract, we included 123 full text articles, of which 108 were SSAM and 15 ASR. Automation was applied for search (19/123, 15.4%), record screening (89/123, 72.4%), full-text selection (6/123, 4.9%), data extraction (13/123, 10.6%), risk of bias assessment (9/123, 7.3%), evidence synthesis (2/123, 1.6%), assessment of evidence quality (2/123, 1.6%), and reporting (2/123, 1.6%). Multiple SR stages were automated by 11 (8.9%) studies. The performance of automated record screening varied largely across SR topics. In published ASR, we found examples of automated search, record screening, full-text selection, and data extraction. In some ASRs, automation fully complemented manual reviews to increase sensitivity rather than to save workload. Reporting of automation details was often incomplete in ASRs. CONCLUSIONS: Automation techniques are being developed for all SR stages, but with limited real-world adoption. Most SR automation tools target single SR stages, with modest time savings for the entire SR process and varying sensitivity and specificity across studies. Therefore, the real-world benefits of SR automation remain uncertain. Standardizing the terminology, reporting, and metrics of study reports could enhance the adoption of SR automation techniques in real-world practice.;10.1186/s13643-024-02592-3
"E. Sandner; C. Gütl; I. Jakovljevic; A. Wagner";Screening Automation in Systematic Reviews: Analysis of Tools and Their Machine Learning Capabilities;Stud Health Technol Inform;2024;313;;179–185;Systematic reviews provide robust evidence but require significant human labor, a challenge that can be mitigated with digital tools. This paper focuses on machine learning (ML) support for the title and abstract screening phase, the most time-intensive aspect of the systematic review process. The existing literature was systematically reviewed and five promising tools were analyzed, focusing on their ability to reduce human workload and their application of ML. This paper details the current state of automation capabilities and highlights significant research findings that point towards further improvements in the field. Directions for future research in this evolving field are outlined, with an emphasis on the need for a cautious application of existing systems.;10.3233/shti240034
"Iain J. Marshall; Byron C. Wallace";Toward systematic review automation: a practical guide to using machine learning tools in research synthesis;Systematic Reviews;2019;8;1;163;Technologies and methods to speed up the production of systematic reviews by reducing the manual labour involved have recently emerged. Automation has been proposed or used to expedite most steps of the systematic review process, including search, screening, and data extraction. However, how these technologies work in practice and when (and when not) to use them is often not clear to practitioners. In this practical guide, we provide an overview of current machine learning methods that have been proposed to expedite evidence synthesis. We also offer guidance on which of these are ready for use, their strengths and weaknesses, and how a systematic review team might go about using them in practice.;10.1186/s13643-019-1074-9
"N. Bernard; Y. Sagawa, Jr.; N. Bier; T. Lihoreau; L. Pazart; T. Tannou";Using artificial intelligence for systematic review: the example of elicit;BMC Med Res Methodol;2025;25;1;75;BACKGROUND: Artificial intelligence (AI) tools are increasingly being used to assist researchers with various research tasks, particularly in the systematic review process. Elicit is one such tool that can generate a summary of the question asked, setting it apart from other AI tools. The aim of this study is to determine whether AI-assisted research using Elicit adds value to the systematic review process compared to traditional screening methods. METHODS: We compare the results from an umbrella review conducted independently of AI with the results of the AI-based searching using the same criteria. Elicit contribution was assessed based on three criteria: repeatability, reliability and accuracy. For repeatability the search process was repeated three times on Elicit (trial 1, trial 2, trial 3). For accuracy, articles obtained with Elicit were reviewed using the same inclusion criteria as the umbrella review. Reliability was assessed by comparing the number of publications with those without AI-based searches. RESULTS: The repeatability test found 246,169 results and 172 results for the trials 1, 2, and 3 respectively. Concerning accuracy, 6 articles were included at the conclusion of the selection process. Regarding, revealed 3 common articles, 3 exclusively identified by Elicit and 17 exclusively identified by the AI-independent umbrella review search. CONCLUSION: Our findings suggest that AI research assistants, like Elicit, can serve as valuable complementary tools for researchers when designing or writing systematic reviews. However, AI tools have several limitations and should be used with caution. When using AI tools, certain principles must be followed to maintain methodological rigour and integrity. Improving the performance of AI tools such as Elicit and contributing to the development of guidelines for their use during the systematic review process will enhance their effectiveness.;10.1186/s12874-025-02528-y
"Sanne H. B. van Dijk; Marjolein G. J. Brusse-Keizer; Charlotte C. Bucsán; Job van der Palen; Carine J. M. Doggen; Anke Lenferink";Artificial intelligence in systematic reviews: promising when appropriately used;BMJ Open;2023;13;7;e072254;Background Systematic reviews provide a structured overview of the available evidence in medical-scientific research. However, due to the increasing medical-scientific research output, it is a time-consuming task to conduct systematic reviews. To accelerate this process, artificial intelligence (AI) can be used in the review process. In this communication paper, we suggest how to conduct a transparent and reliable systematic review using the AI tool ‘ASReview’ in the title and abstract screening.Methods Use of the AI tool consisted of several steps. First, the tool required training of its algorithm with several prelabelled articles prior to screening. Next, using a researcher-in-the-loop algorithm, the AI tool proposed the article with the highest probability of being relevant. The reviewer then decided on relevancy of each article proposed. This process was continued until the stopping criterion was reached. All articles labelled relevant by the reviewer were screened on full text.Results Considerations to ensure methodological quality when using AI in systematic reviews included: the choice of whether to use AI, the need of both deduplication and checking for inter-reviewer agreement, how to choose a stopping criterion and the quality of reporting. Using the tool in our review resulted in much time saved: only 23% of the articles were assessed by the reviewer.Conclusion The AI tool is a promising innovation for the current systematic reviewing practice, as long as it is appropriately used and methodological quality can be assured.PROSPERO registration number CRD42022283952.;10.1136/bmjopen-2023-072254
"M Babšek; D Ravšelj; L Umek; A Aristovnik";Artificial Intelligence Adoption in Public Administration: An Overview of Top-Cited Articles and Practical Applications. AI 2025, 6, 44;;2023;40;;3;;
"S. Lu; G. A. Christie; T. T. Nguyen; J. D. Freeman; E. B. Hsu";Applications of Artificial Intelligence and Machine Learning in Disasters and Public Health Emergencies;Disaster Med Public Health Prep;2022;16;4;1674–1681;Indexed literature (from 2015 to 2020) on artificial intelligence (AI) technologies and machine learning algorithms (ML) pertaining to disasters and public health emergencies were reviewed. Search strategies were developed and conducted for PubMed and Compendex. Articles that met inclusion criteria were filtered iteratively by title followed by abstract review and full text review. Articles were organized to identify novel approaches and breadth of potential AI applications. A total of 1217 articles were initially retrieved by the search. Upon relevant title review, 1003 articles remained. Following abstract screening, 667 articles remained. Full text review for relevance yielded 202 articles. Articles that met inclusion criteria totaled 56 articles. Those identifying specific roles of AI and ML (17 articles) were grouped by topics highlighting utility of AI and ML in disaster and public health emergency contexts. Development and use of AI and ML have increased dramatically over the past few years. This review discusses and highlights potential contextual applications and limitations of AI and ML in disaster and public health emergency scenarios.;10.1017/dmp.2021.125
"A. Blaizot; S. K. Veettil; P. Saidoung; C. F. Moreno-Garcia; N. Wiratunga; M. Aceves-Martins; N. M. Lai; N. Chaiyakunapruk";Using artificial intelligence methods for systematic review in health sciences: A systematic review;Res Synth Methods;2022;13;3;353–362;The exponential increase in published articles makes a thorough and expedient review of literature increasingly challenging. This review delineated automated tools and platforms that employ artificial intelligence (AI) approaches and evaluated the reported benefits and challenges in using such methods. A search was conducted in 4 databases (Medline, Embase, CDSR, and Epistemonikos) up to April 2021 for systematic reviews and other related reviews implementing AI methods. To be included, the review must use any form of AI method, including machine learning, deep learning, neural network, or any other applications used to enable the full or semi-autonomous performance of one or more stages in the development of evidence synthesis. Twelve reviews were included, using nine different tools to implement 15 different AI methods. Eleven methods were used in the screening stages of the review (73%). The rest were divided: two in data extraction (13%) and two in risk of bias assessment (13%). The ambiguous benefits of the data extractions, combined with the reported advantages from 10 reviews, indicating that AI platforms have taken hold with varying success in evidence synthesis. However, the results are qualified by the reliance on the self-reporting of the review authors. Extensive human validation still appears required at this stage in implementing AI methods, though further evaluation is required to define the overall contribution of such platforms in enhancing efficiency and quality in evidence synthesis.;10.1002/jrsm.1553
J. C. G. Corpuz;Artificial intelligence (AI) and public health;J Public Health (Oxf);2023;45;4;e783–e784;;10.1093/pubmed/fdad074
"D. V. Gunasekeran; Rmww Tseng; Y. C. Tham; T. Y. Wong";Applications of digital health for public health responses to COVID-19: a systematic scoping review of artificial intelligence, telehealth and related technologies;NPJ Digit Med;2021;4;1;40;"The coronavirus disease 2019 (COVID-19) pandemic has overwhelmed healthcare services, faced with the twin challenges in acutely meeting the medical needs of patients with COVID-19 while continuing essential services for non-COVID-19 illnesses. The need to re-invent, re-organize and transform healthcare and co-ordinate clinical services at a population level is urgent as countries that controlled initial outbreaks start to experience resurgences. A wide range of digital health solutions have been proposed, although the extent of successful real-world applications of these technologies is unclear. This study aims to review applications of artificial intelligence (AI), telehealth, and other relevant digital health solutions for public health responses in the healthcare operating environment amidst the COVID-19 pandemic. A systematic scoping review was performed to identify potentially relevant reports. Key findings include a large body of evidence for various clinical and operational applications of telehealth (40.1%, n?=?99/247). Although a large quantity of reports investigated applications of artificial intelligence (AI) (44.9%, n?=?111/247) and big data analytics (36.0%, n?=?89/247), weaknesses in study design limit generalizability and translation, highlighting the need for more pragmatic real-world investigations. There were also few descriptions of applications for the internet of things (IoT) (2.0%, n?=?5/247), digital platforms for communication (DC) (10.9%, 27/247), digital solutions for data management (DM) (1.6%, n?=?4/247), and digital structural screening (DS) (8.9%, n?=?22/247); representing gaps and opportunities for digital public health. Finally, the performance of digital health technology for operational applications related to population surveillance and points of entry have not been adequately evaluated.";10.1038/s41746-021-00412-9
"C. L. Kao; L. C. Chien; M. C. Wang; J. S. Tang; P. C. Huang; C. C. Chuang; C. L. Shih";The development of new remote technologies in disaster medicine education: A scoping review;Front Public Health;2023;11;;1029558;BACKGROUND: Remote teaching and online learning have significantly changed the responsiveness and accessibility after the COVID-19 pandemic. Disaster medicine (DM) has recently gained prominence as a critical issue due to the high frequency of worldwide disasters, especially in 2021. The new artificial intelligence (AI)-enhanced technologies and concepts have recently progressed in DM education. OBJECTIVES: The aim of this article is to familiarize the reader with the remote technologies that have been developed and used in DM education over the past 20 years. LITERATURE SCOPING REVIEWS: Mobile edge computing (MEC), unmanned aerial vehicles (UAVs)/drones, deep learning (DL), and visual reality stimulation, e.g., head-mounted display (HMD), are selected as promising and inspiring designs in DM education. METHODS: We performed a comprehensive review of the literature on the remote technologies applied in DM pedagogy for medical, nursing, and social work, as well as other health discipline students, e.g., paramedics. Databases including PubMed (MEDLINE), ISI Web of Science (WOS), EBSCO (EBSCO Essentials), Embase (EMB), and Scopus were used. The sourced results were recorded in a Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) flowchart and followed in accordance with the PRISMA extension Scoping Review checklist. We included peer-reviewed articles, Epubs (electronic publications such as databases), and proceedings written in English. VOSviewer for related keywords extracted from review articles presented as a tabular summary to demonstrate their occurrence and connections among these DM education articles from 2000 to 2022. RESULTS: A total of 1,080 research articles on remote technologies in DM were initially reviewed. After exclusion, 64 articles were included in our review. Emergency remote teaching/learning education, remote learning, online learning/teaching, and blended learning are the most frequently used keywords. As new remote technologies used in emergencies become more advanced, DM pedagogy is facing more complex problems. DISCUSSIONS: Artificial intelligence-enhanced remote technologies promote learning incentives for medical undergraduate students or graduate professionals, but the efficacy of learning quality remains uncertain. More blended AI-modulating pedagogies in DM education could be increasingly important in the future. More sophisticated evaluation and assessment are needed to implement carefully considered designs for effective DM education.;10.3389/fpubh.2023.1029558
"D. B. Olawade; O. J. Wada; A. C. David-Olawade; E. Kunonga; O. Abaire; J. Ling";Using artificial intelligence to improve public health: a narrative review;Front Public Health;2023;11;;1196397;Artificial intelligence (AI) is a rapidly evolving tool revolutionizing many aspects of healthcare. AI has been predominantly employed in medicine and healthcare administration. However, in public health, the widespread employment of AI only began recently, with the advent of COVID-19. This review examines the advances of AI in public health and the potential challenges that lie ahead. Some of the ways AI has aided public health delivery are via spatial modeling, risk prediction, misinformation control, public health surveillance, disease forecasting, pandemic/epidemic modeling, and health diagnosis. However, the implementation of AI in public health is not universal due to factors including limited infrastructure, lack of technical understanding, data paucity, and ethical/privacy issues.;10.3389/fpubh.2023.1196397
